Manuell,Class
1,0
1,0
1,0
1,0
1,0
1,0.004
1,0
1,0
1,0
1,0
1,0.9
1,0
1,0.25
1,0
1,0.5
1,0
1,0.4
1,0.225
1,0.29
1,0.041
1,0.02
1,0.0745
1,0.156
1,0.1012
1,0.0202
1,0.0153
1,0.115
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,1
0,1
0,1
0,1
0,1
0,0.996
0,1
0,1
0,1
0,1
0,0.91
0,1
0,0.75
0,1
0,0.5
0,1
0,0.6
0,0.775
0,0.707
0,0.959
0,0.98
0,0.9254
0,0.8435
0,0.8987
0,0.9797
0,0.9846
0,0.8846
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,0.25
1,0
1,0.5
1,0
1,0.4
1,0.225
1,0.29
1,0.041
1,0.2
1,0.745
1,0.356
1,0.1012
1,0.202
1,0.153
1,0.115
1,0.25
1,0
1,0.5
1,0
1,0.4
1,0.225
1,0.29
1,0.41
1,0.2
1,0.745
1,0.356
1,0.3012
1,0.402
1,0.253
1,0.115
1,0.325
1,0.291
1,0.41
1,0.2
1,0.745
1,0.356
1,0.3012
1,0.202
1,0.153
1,0.115
1,0.25
1,0
1,0.5
1,0
1,0.4
1,0.225
1,0.29
1,0.41
1,0.2
1,0.745
1,0.356
1,0.3012
1,0.402
1,0.253
1,0.215
1,0.553
1,0.315
1,0.25
1,0
1,0.5
1,0
1,0.4
1,0.625
1,0.299
1,0.41
1,0.2
1,0.745
1,0.356
1,0.3012
1,0.4012
1,0.2513
1,0.2115
0,1
0,1
0,1
0,1
0,1
0,0.996
0,1
0,1
0,1
0,1
0,0.91
0,1
0,0.75
0,1
0,0.5
0,1
0,0.6
0,0.775
0,0.707
0,0.959
0,0.98
0,0.9254
0,0.8435
0,0.8987
0,0.9797
0,0.9846
0,0.8846
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,0
1,0
1,0
1,0
1,0
1,0.004
1,0
1,0
1,0
1,0
1,0.9
1,0
1,0.25
1,0
1,0.5
1,0
1,0.4
1,0.225
1,0.29
1,0.041
1,0.02
1,0.0745
1,0.156
1,0.1012
1,0.0202
1,0.0153
1,0.115
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,1
0,1
0,1
0,1
0,1
0,0.996
0,1
0,1
0,1
0,1
0,0.91
0,1
0,0.75
0,1
0,0.5
0,1
0,0.6
0,0.775
0,0.707
0,0.959
0,0.98
0,0.9254
0,0.8435
0,0.8987
0,0.9797
0,0.9846
0,0.8846
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,0.25
1,0
1,0.5
1,0
1,0.4
1,0.225
1,0.29
1,0.041
1,0.2
1,0.745
1,0.356
1,0.1012
1,0.202
1,0.153
1,0.115
1,0.25
1,0
1,0.5
1,0
1,0.4
1,0.225
1,0.29
1,0.41
1,0.2
1,0.745
1,0.356
1,0.3012
1,0.402
1,0.253
1,0.115
1,0.325
1,0.291
1,0.41
1,0.2
1,0.745
1,0.356
1,0.3012
1,0.202
1,0.153
1,0.115
1,0.25
1,0
1,0.5
1,0
1,0.4
1,0.225
1,0.29
1,0.41
1,0.2
1,0.745
1,0.356
1,0.3012
1,0.402
1,0.253
1,0.215
1,0.553
1,0.315
1,0.25
1,0
1,0.5
1,0
1,0.4
1,0.625
1,0.299
1,0.41
1,0.2
1,0.745
1,0.356
1,0.3012
1,0.4012
1,0.2513
1,0.2115
0,1
0,1
0,1
0,1
0,1
0,0.996
0,1
0,1
0,1
0,1
0,0.91
0,1
0,0.75
0,1
0,0.5
0,1
0,0.6
0,0.775
0,0.707
0,0.959
0,0.98
0,0.9254
0,0.8435
0,0.8987
0,0.9797
0,0.9846
0,0.8846
0,0.3
0,0.4
0,0.6
0,0.3
0,0.3
0,0.9
0,0.7
0,0.7
0,0.4
0,0.31
0,0.42
0,0.63
0,0.13
0,0.39
0,0.99
0,0.72
0,0.71
0,0.42
0,0.311
0,0.422
0,0.623
0,0.133
0,0.359
0,0.949
0,0.722
0,0.711
0,0.432
0,0.42
0,0.311
0,0.422
0,0.623
0,0.133
0,0.359
0,0.249
0,0.322
0,0.311
0,0.632
